"Timestamp","Informed Consent","Age Group","Current Status","Gender (Optional)","Instructions","1. Talks a lot","2. Notices other people’s weak points","3. Does things carefully and completely","4. Is sad, depressed","5. Is original, comes up with new ideas","6. Keeps their thoughts to themselves","7. Is helpful and not selfish with others","8. Can be kind of careless","9. Is relaxed, handles stress well","10. Is curious about lots of different things","11. Has a lot of energy","12. Starts arguments with others","13. Is a good, hard worker","14. Can be tense; not always easy going","15. Clever; thinks a lot","16. Makes things exciting","17. Forgives others easily","18. Isn’t very organized","19. Worries a lot","20. Has a good, active imagination","21. Tends to be quiet","22. Usually trusts people","23. Tends to be lazy","24. Doesn’t get upset easily; steady","25. Is creative and inventive","26. Has a good, strong personality","27. Can be cold and distant with others","28. Keeps working until things are done","29. Can be moody","30. Likes artistic and creative experiences","31. Is kind of shy","32. Kind and considerate to almost everyone","33. Does things quickly and carefully","34. Stays calm in difficult situations","35. Likes work that is the same every time","36. Is outgoing; likes to be with people","37. Is sometimes rude to others","38. Makes plans and sticks to them","39. Gets nervous easily","40. Likes to think and play with ideas","41. Doesn’t like artistic things (plays, music)","42. Likes to cooperate; goes along with others","43. Has trouble paying attention","44. Knows a lot about art, music and books","Column 51","X / Twitter Profile handle (if you have one)","Additional Information (Optional but helpful)","End of Questionnaire","Column 55","Column 56","Column 57","Column 58","Column 59","Column 60"
"4/28/2026 8:36:33","Yes","18-24","Student","Male","Alright ","3","4","3","3","3","5","4","3","3","5","4","2","4","2","3","4","4","3","3","3","5","4","3","5","3","4","3","3","3","4","3","5","3","4","3","3","2","3","3","4","1","4","3","4","","OluwatoyinEnoch","","You're welcome 😊","","","","","",""
"4/28/2026 8:46:43","Yes","18-24","Student","Female","","4","4","3","1","4","3","4","4","3","4","3","4","3","1","5","4","3","4","5","5","5","4","4","3","4","4","3","2","4","4","5","4","3","3","2","2","1","3","5","4","1","4","3","2","","blessingtijani8","I don't really know ","My pleasure ","","","","","",""
"4/28/2026 12:03:46","Yes","18-24","Student","Male","Okay","3","2","4","5","2","2","2","5","2","2","2","5","2","5","2","2","2","1","5","1","2","5","5","1","1","1","1","1","5","1","5","2","2","2","5","3","2","1","5","1","5","2","5","5","","shollybugs","Nill","Ya wlc","","","","","",""
"5/20/2026 15:49:38","Yes","18-24","Student","Male","Agree a little ","1","5","5","5","5","5","5","5","5","5","3","2","3","4","3","5","3","4","5","5","5","5","1","3","5","5","5","5","5","5","5","5","5","5","5","5","4","3","4","5","2","5","3","5","","Oyin_005","20","Uwlc","","","","","",""
"7/12/2026 20:20:34","Yes","18-24","Student","Male","","2","5","4","5","4","4","4","4","4","4","1","3","3","3","3","3","3","4","3","3","4","4","2","2","3","4","4","4","4","4","3","3","3","3","3","3","3","4","2","2","2","4","4","4","","AlabiMatth94132","10-15","You're welcome ","","","","","",""
"7/13/2026 20:13:33","Yes","18-24","Student","Male","","3","4","4","3","4","5","5","3","4","4","5","3","4","3","4","3","4","4","3","4","3","3","2","4","3","5","4","4","2","3","4","5","4","4","2","3","2","3","2","4","1","3","2","3","","AceserveSo63331","","","","","","","",""
"7/14/2026 3:47:30","Yes","18-24","Student","Male","","2","3","4","1","4","3","3","4","4","5","3","3","3","2","3","3","4","3","3","4","4","4","2","4","4","3","5","3","2","4","5","5","3","3","3","2","3","2","2","4","2","4","2","2","","mercy_mts","160, 3, 2022","","","","","","",""
"7/15/2026 9:03:40","Yes","18-24","Student","Male","5","1","5","5","5","5","3","5","1","5","5","5","2","5","5","5","5","5","2","4","5","5","4","1","4","5","5","3","5","5","5","4","4","5","4","4","4","1","4","4","4","4","5","3","4","","DebbyOofficial","","","","","","","",""
"7/15/2026 15:42:07","Yes","18-24","Student","Male","","3","5","5","2","4","4","4","2","4","5","3","4","4","1","4","4","3","1","3","4","3","2","3","5","5","4","5","4","5","5","4","5","5","5","3","2","2","3","2","4","1","3","2","4","","cold3web","506","","","","","","",""
"7/15/2026 18:38:53","Yes","25-34","Working Professional","Male","","3","4","4","1","3","4","4","2","4","4","2","2","3","2","4","3","4","1","1","3","3","4","2","4","3","3","4","3","4","5","3","4","3","4","2","4","3","2","2","4","1","3","2","4","","JokotoyeJoseph","","","","","","","",""
"7/17/2026 20:10:02","Yes","18-24","Student","Male","","3","4","3","2","2","4","3","4","3","5","4","5","4","3","4","4","4","2","3","4","4","3","4","2","3","3","3","3","4","4","3","4","4","3","3","5","4","2","4","2","1","3","4","3","","Hay_bee0","","","","","","","",""
"7/17/2026 22:40:51","Yes","18-24","Student","Male","3","3","4","3","3","4","4","4","4","3","5","5","5","4","4","4","4","3","4","4","5","4","4","4","2","2","3","4","4","4","4","5","4","4","2","4","4","4","3","4","4","1","4","3","1","","sonofgod0199","","Welcom","","","","","",""
"7/18/2026 12:06:03","Yes","18-24","Student","Male","","1","4","5","1","4","4","5","3","4","5","5","2","5","4","5","3","5","1","3","5","5","5","1","5","4","5","4","3","3","4","5","5","5","5","3","2","1","5","3","5","1","5","2","4","","josephayanwuyi","5000 on LinkedIn. One. 2024.","","","","","","",""
